,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.928571429,0.071428571,0.019230769,0.134615385,0.019230769,0.365384615,0.461538462,1,0.593220339,0,0,0.254237288,0.152542373
1,0.928571429,0.071428571,0.037037037,0.018518519,0.037037037,0.259259259,0.648148148,1,0.64516129,0.016129032,0.016129032,0.14516129,0.177419355
2,0.939759036,0.060240964,0.05,0.066666667,0.116666667,0.216666667,0.55,1,0.709090909,0,0.036363636,0.163636364,0.090909091
3,0.962962963,0.037037037,0,0.015625,0.21875,0.125,0.640625,1,0.64516129,0.080645161,0,0.161290323,0.112903226
4,0.928571429,0.071428571,0.035087719,0.01754386,0.087719298,0.315789474,0.543859649,1,0.727272727,0.018181818,0.018181818,0.163636364,0.072727273
5,0.951219512,0.048780488,0.074074074,0.037037037,0,0.37037037,0.518518519,1,0.53968254,0.063492063,0.015873016,0.238095238,0.142857143
6,0.962962963,0.037037037,0.055555556,0.055555556,0.018518519,0.407407407,0.462962963,1,0.684210526,0.01754386,0,0.192982456,0.105263158
7,0.939759036,0.060240964,0.037037037,0.148148148,0.037037037,0.37037037,0.407407407,1,0.451612903,0.096774194,0.016129032,0.338709677,0.096774194
8,0.962962963,0.037037037,0.070175439,0.105263158,0.052631579,0.421052632,0.350877193,1,0.692307692,0,0,0.269230769,0.038461538
9,0.939759036,0.060240964,0,0.125,0.107142857,0.232142857,0.535714286,1,0.631578947,0.01754386,0.070175439,0.175438596,0.105263158
10,0.928571429,0.071428571,0.018181818,0.018181818,0.072727273,0.218181818,0.672727273,1,0.619047619,0.031746032,0.031746032,0.142857143,0.174603175
11,0.975,0.025,0,0.122807018,0.122807018,0.245614035,0.50877193,1,0.627118644,0.033898305,0.033898305,0.186440678,0.118644068
12,0.975,0.025,0,0.101694915,0.152542373,0.254237288,0.491525424,1,0.666666667,0.035087719,0.01754386,0.192982456,0.087719298
13,0.975,0.025,0.058823529,0.029411765,0.205882353,0.191176471,0.514705882,1,0.672727273,0.054545455,0.018181818,0.218181818,0.036363636
14,0.951219512,0.048780488,0,0.116666667,0.166666667,0.2,0.516666667,1,0.614035088,0.052631579,0.052631579,0.210526316,0.070175439
15,0.975,0.025,0,0.017857143,0.107142857,0.267857143,0.607142857,1,0.603174603,0.111111111,0.047619048,0.142857143,0.095238095
16,0.917647059,0.082352941,0,0.086206897,0.137931034,0.086206897,0.689655172,1,0.587301587,0.015873016,0.047619048,0.158730159,0.19047619
17,0.962962963,0.037037037,0.069444444,0,0.236111111,0.027777778,0.666666667,1,0.639344262,0,0.016393443,0.163934426,0.180327869
18,1,0,0.061538462,0.076923077,0.169230769,0.030769231,0.661538462,1,0.552238806,0.014925373,0.029850746,0.164179104,0.23880597
19,1,0,0.09375,0.046875,0.125,0.03125,0.703125,1,0.542857143,0,0.014285714,0.157142857,0.285714286
20,0.987341772,0.012658228,0.104477612,0.044776119,0.149253731,0.149253731,0.552238806,1,0.590163934,0,0,0.229508197,0.180327869
21,0.896551724,0.103448276,0,0.02,0,0.32,0.66,1,0.629032258,0.032258065,0.016129032,0.161290323,0.161290323
22,0.939759036,0.060240964,0,0,0,0.28,0.72,1,0.479452055,0.109589041,0.01369863,0.191780822,0.205479452
23,0.906976744,0.093023256,0,0,0.056603774,0.320754717,0.622641509,1,0.677966102,0.016949153,0.016949153,0.152542373,0.13559322
24,0.939759036,0.060240964,0.075757576,0.03030303,0.166666667,0.257575758,0.46969697,1,0.725490196,0,0,0.254901961,0.019607843
25,0.896551724,0.103448276,0.01754386,0.01754386,0.105263158,0.315789474,0.543859649,1,0.722222222,0,0,0.203703704,0.074074074
26,0.906976744,0.093023256,0,0.02,0,0.44,0.54,1,0.678571429,0.053571429,0.053571429,0.160714286,0.053571429
27,0.906976744,0.093023256,0.037735849,0.018867925,0.018867925,0.358490566,0.566037736,1,0.701754386,0,0,0.175438596,0.122807018
28,0.906976744,0.093023256,0,0,0,0.42,0.58,1,0.661016949,0.050847458,0.016949153,0.169491525,0.101694915
29,0.906976744,0.093023256,0.036363636,0.018181818,0.054545455,0.418181818,0.472727273,1,0.716981132,0.018867925,0,0.226415094,0.037735849
30,0.928571429,0.071428571,0.035087719,0,0.087719298,0.421052632,0.456140351,1,0.75,0,0,0.211538462,0.038461538
31,0.962962963,0.037037037,0.017241379,0.224137931,0.120689655,0.362068966,0.275862069,1,0.576923077,0.019230769,0.019230769,0.365384615,0.019230769
32,0.962962963,0.037037037,0.029411765,0.058823529,0.235294118,0.161764706,0.514705882,1,0.784313725,0,0.019607843,0.176470588,0.019607843
33,0.928571429,0.071428571,0,0.068965517,0.137931034,0.310344828,0.482758621,1,0.672727273,0.036363636,0,0.236363636,0.054545455
