,"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))"
0,0.971830986,0.028169014,0.083333333,0.016666667,0.083333333,0.133333333,0.683333333,1,0.590163934,0.098360656,0.016393443,0.213114754,0.081967213
1,0.971830986,0.028169014,0,0.13559322,0.152542373,0.033898305,0.677966102,1,0.616666667,0.033333333,0.016666667,0.2,0.133333333
2,1,0,0.018867925,0.094339623,0.037735849,0.075471698,0.773584906,1,0.486111111,0.111111111,0,0.208333333,0.194444444
3,0.971830986,0.028169014,0.036363636,0.109090909,0.054545455,0.2,0.6,1,0.672727273,0.036363636,0.054545455,0.181818182,0.054545455
4,0.985714286,0.014285714,0.037037037,0.055555556,0.037037037,0.185185185,0.685185185,1,0.644067797,0.101694915,0.06779661,0.13559322,0.050847458
5,0.985714286,0.014285714,0.136363636,0.53030303,0.106060606,0.106060606,0.121212121,1,0.071428571,0,0,0.821428571,0.107142857
6,0.971830986,0.028169014,0.163934426,0.557377049,0.016393443,0.032786885,0.229508197,1,0.016129032,0.032258065,0.112903226,0.677419355,0.161290323
7,0.945205479,0.054794521,0.1,0.633333333,0.066666667,0.016666667,0.183333333,1,0.01754386,0,0.140350877,0.719298246,0.122807018
8,0.985714286,0.014285714,0.017857143,0.732142857,0.089285714,0,0.160714286,1,0.101694915,0,0.101694915,0.644067797,0.152542373
9,1,0,0,0.083333333,0.166666667,0.066666667,0.683333333,1,0.540983607,0.180327869,0.098360656,0.180327869,0
10,1,0,0.017857143,0.017857143,0.089285714,0.214285714,0.660714286,1,0.666666667,0.116666667,0,0.166666667,0.05
11,0.958333333,0.041666667,0.037735849,0,0.018867925,0.20754717,0.735849057,1,0.629032258,0.112903226,0.016129032,0.161290323,0.080645161
12,1,0,0.089285714,0,0.017857143,0.232142857,0.660714286,1,0.666666667,0.066666667,0,0.166666667,0.1
13,0.971830986,0.028169014,0.131147541,0.016393443,0.049180328,0.196721311,0.606557377,1,0.730769231,0.019230769,0.057692308,0.173076923,0.019230769
14,0.958333333,0.041666667,0,0.018518519,0.074074074,0.222222222,0.685185185,1,0.696428571,0.107142857,0.071428571,0.125,0
15,0.932432432,0.067567568,0.036363636,0.181818182,0.054545455,0.236363636,0.490909091,1,0.603773585,0.018867925,0.018867925,0.320754717,0.037735849
16,0.958333333,0.041666667,0.037037037,0.111111111,0.037037037,0.259259259,0.555555556,1,0.625,0.071428571,0.017857143,0.25,0.035714286
17,0.907894737,0.092105263,0.018181818,0.018181818,0.072727273,0.163636364,0.727272727,1,0.754716981,0,0.075471698,0.113207547,0.056603774
18,0.907894737,0.092105263,0,0.019230769,0.038461538,0.230769231,0.711538462,1,0.684210526,0.052631579,0.01754386,0.175438596,0.070175439
19,0.985714286,0.014285714,0.107142857,0.053571429,0,0.214285714,0.625,1,0.655172414,0.017241379,0.017241379,0.189655172,0.120689655
20,0.958333333,0.041666667,0,0.642857143,0.107142857,0.017857143,0.232142857,1,0.169811321,0.018867925,0.20754717,0.566037736,0.037735849
21,1,0,0.147058824,0.558823529,0.117647059,0.014705882,0.161764706,1,0.018867925,0,0.150943396,0.773584906,0.056603774
22,1,0,0.090909091,0.590909091,0.151515152,0,0.166666667,1,0.08,0,0.2,0.72,0
23,1,0,0.078125,0.609375,0.140625,0.015625,0.15625,1,0.078431373,0.019607843,0.196078431,0.705882353,0
24,0.958333333,0.041666667,0.106060606,0.606060606,0.136363636,0.045454545,0.106060606,1,0,0,0.14,0.86,0
25,0.971830986,0.028169014,0,0.711538462,0.038461538,0,0.25,1,0.086206897,0.086206897,0.25862069,0.517241379,0.051724138
26,0.985714286,0.014285714,0.038461538,0.730769231,0,0.057692308,0.173076923,1,0,0.147540984,0.229508197,0.590163934,0.032786885
27,0.985714286,0.014285714,0,0.740740741,0.074074074,0,0.185185185,1,0,0.14516129,0.193548387,0.612903226,0.048387097
28,1,0,0,0.701754386,0.122807018,0.035087719,0.140350877,1,0.092592593,0.074074074,0.203703704,0.62962963,0
29,0.958333333,0.041666667,0,0.655737705,0.180327869,0.032786885,0.131147541,1,0.12,0,0.14,0.74,0
30,0.985714286,0.014285714,0.121212121,0.515151515,0.121212121,0,0.242424242,1,0.056603774,0.056603774,0.226415094,0.660377358,0
31,0.985714286,0.014285714,0.071428571,0.678571429,0.035714286,0.071428571,0.142857143,1,0.107142857,0.017857143,0.142857143,0.642857143,0.089285714
32,0.971830986,0.028169014,0.06779661,0.661016949,0.084745763,0,0.186440678,1,0.049180328,0.016393443,0.081967213,0.68852459,0.163934426
33,0.92,0.08,0.037037037,0.759259259,0.037037037,0,0.166666667,1,0,0,0.03030303,0.727272727,0.242424242
34,0.92,0.08,0.049180328,0.655737705,0.131147541,0.049180328,0.114754098,1,0.038461538,0,0.096153846,0.826923077,0.038461538
35,0.945205479,0.054794521,0,0.732142857,0.107142857,0.035714286,0.125,1,0.050847458,0.033898305,0.06779661,0.728813559,0.118644068
36,0.985714286,0.014285714,0.074074074,0.722222222,0,0,0.203703704,1,0,0.076923077,0.153846154,0.615384615,0.153846154
37,0.985714286,0.014285714,0.036363636,0.690909091,0.054545455,0,0.218181818,1,0.016129032,0.112903226,0.193548387,0.596774194,0.080645161
38,0.907894737,0.092105263,0.019230769,0.769230769,0.019230769,0.019230769,0.173076923,1,0.018181818,0.036363636,0.236363636,0.654545455,0.054545455
39,0.945205479,0.054794521,0.037735849,0.773584906,0.018867925,0.018867925,0.150943396,1,0.017241379,0.051724138,0.189655172,0.655172414,0.086206897
40,1,0,0.050847458,0.677966102,0.101694915,0.033898305,0.13559322,1,0.056603774,0.056603774,0.226415094,0.660377358,0
41,0.932432432,0.067567568,0.056603774,0.754716981,0,0.018867925,0.169811321,1,0,0.032786885,0.147540984,0.672131148,0.147540984
42,0.971830986,0.028169014,0.074074074,0.722222222,0,0.074074074,0.12962963,1,0.068965517,0,0.137931034,0.655172414,0.137931034
43,0.971830986,0.028169014,0.053571429,0.660714286,0.053571429,0.035714286,0.196428571,1,0.145454545,0,0.163636364,0.6,0.090909091
44,1,0,0.096774194,0.612903226,0.096774194,0.032258065,0.161290323,1,0.1,0,0.24,0.66,0
45,0.958333333,0.041666667,0.081967213,0.655737705,0.098360656,0.032786885,0.131147541,1,0.055555556,0,0.111111111,0.759259259,0.074074074
46,0.945205479,0.054794521,0.033333333,0.6,0.133333333,0.016666667,0.216666667,1,0.101694915,0.033898305,0.050847458,0.694915254,0.118644068
47,0.985714286,0.014285714,0.015625,0.578125,0.203125,0.03125,0.171875,1,0.2,0,0.1,0.7,0
48,0.985714286,0.014285714,0,0.145454545,0.090909091,0.127272727,0.636363636,1,0.696428571,0.017857143,0.053571429,0.142857143,0.089285714
49,0.945205479,0.054794521,0.037037037,0.055555556,0.037037037,0.148148148,0.722222222,1,0.65,0.033333333,0.016666667,0.166666667,0.133333333
50,0.985714286,0.014285714,0.056603774,0.773584906,0,0.018867925,0.150943396,1,0.036363636,0.054545455,0.290909091,0.581818182,0.036363636
