,"('S', ('VP',))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('VP', 'NP'))","('VP', ('V', 'NP'))","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
1,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
2,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0
3,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
4,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
5,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
6,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,0.0,0.15,0.0,0.0,0.85,0.0,1.0,1.0
7,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0
8,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
9,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
10,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
11,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
12,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
13,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
14,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
15,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
16,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
17,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0
18,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
19,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
20,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
