,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.944444444,0,0,0.055555556,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.055555556,0.018518519,0.018518519,0.018518519,0.888888889,1,0.090909091,0.8,0.109090909,0,0
1,0.904761905,0,0,0.095238095,0,0,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,0.133333333,0.733333333,0.033333333,0.1,0,1,0,0,0,1,0
2,1,0,0,0,1,0,0,0,0,0,0.709090909,0.2,0.090909091,0,0.174603175,0.698412698,0.031746032,0.095238095,0,1,0,0.02,0,0.98,0
3,0.947368421,0,0,0.052631579,0,0.722222222,0.203703704,0.055555556,0.018518519,1,0,0,0,0,0.019607843,0,0,0.019607843,0.960784314,1,0.177419355,0.709677419,0.096774194,0,0.016129032
4,0.863636364,0.045454545,0.045454545,0.045454545,0,0.745098039,0.196078431,0.058823529,0,0,0,0,0,0,0.163934426,0,0.016393443,0,0.819672131,1,0.071428571,0.767857143,0.089285714,0.035714286,0.035714286
5,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.122807018,0.01754386,0,0,0.859649123,1,0.103448276,0.75862069,0.103448276,0,0.034482759
6,1,0,0,0,0,0.735849057,0.20754717,0.037735849,0.018867925,1,0,0,0,0,0.174603175,0.015873016,0.031746032,0,0.777777778,1,0.038461538,0.846153846,0.115384615,0,0
7,0.933333333,0,0,0.066666667,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.071428571,0.089285714,0.035714286,0,0.803571429,1,0.038461538,0.846153846,0.115384615,0,0
8,1,0,0,0,0,0.722222222,0.203703704,0.055555556,0.018518519,0.888888889,0,0,0.111111111,0,0.018867925,0.150943396,0.037735849,0,0.79245283,1,0.056603774,0.830188679,0.113207547,0,0
9,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0,0,0,0,0,0.19047619,0,0.015873016,0,0.793650794,1,0,0.862745098,0.117647059,0,0.019607843
10,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,1,0,0,0,0,0.13559322,0,0.016949153,0.016949153,0.830508475,1,0,0.88,0.12,0,0
11,0.947368421,0.052631579,0,0,0.017241379,0.655172414,0.189655172,0.137931034,0,0,0,0,0,0,0.152542373,0,0,0,0.847457627,1,0,0.846153846,0.115384615,0,0.038461538
12,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.122807018,0,0,0,0.877192982,1,0.018867925,0.830188679,0.113207547,0,0.037735849
13,0.947368421,0,0,0.052631579,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.089285714,0,0.017857143,0.017857143,0.875,1,0.056603774,0.830188679,0.113207547,0,0
14,0.95,0,0,0.05,0,0.65,0.183333333,0.15,0.016666667,0,0,0,0,0,0.107142857,0,0,0,0.892857143,1,0,0.846153846,0.115384615,0,0.038461538
15,1,0,0,0,0,0.696428571,0.196428571,0.089285714,0.017857143,1,0,0,0,0,0.054545455,0.090909091,0.036363636,0,0.818181818,1,0.056603774,0.830188679,0.113207547,0,0
16,0.95,0,0,0.05,0,0.672413793,0.189655172,0.120689655,0.017241379,0,0,0,0,0,0.071428571,0,0.035714286,0,0.892857143,1,0.074074074,0.814814815,0.111111111,0,0
17,0.904761905,0,0,0.095238095,0,0.735849057,0.188679245,0.056603774,0.018867925,0,0,1,0,0,0.054545455,0.018181818,0.036363636,0,0.890909091,1,0.137931034,0.74137931,0.103448276,0.017241379,0
18,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.103448276,0,0.034482759,0,0.862068966,1,0.038461538,0.846153846,0.115384615,0,0
19,1,0,0,0,0,0.684210526,0.192982456,0.105263158,0.01754386,1,0,0,0,0,0.055555556,0.037037037,0.018518519,0,0.888888889,1,0.089285714,0.785714286,0.107142857,0,0.017857143
20,0.941176471,0,0,0.058823529,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.072727273,0.036363636,0.018181818,0.018181818,0.854545455,1,0.038461538,0.846153846,0.115384615,0,0
21,1,0,0,0,0,0.609375,0.171875,0.203125,0.015625,0,0,0,0,0,0,0,0.038461538,0,0.961538462,1,0.056603774,0.830188679,0.113207547,0,0
22,1,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0,0,0,0.02,0.98,1,0.089285714,0.785714286,0.107142857,0,0.017857143
23,1,0,0,0,0,0.661016949,0.186440678,0.13559322,0.016949153,0,0,0,0,0,0.019230769,0,0.019230769,0,0.961538462,1,0.120689655,0.75862069,0.103448276,0,0.017241379
24,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.056603774,0.056603774,0,0,0.886792453,1,0.054545455,0.8,0.109090909,0,0.036363636
25,1,0,0,0,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.037735849,0.037735849,0.018867925,0,0.905660377,1,0.089285714,0.785714286,0.107142857,0,0.017857143
