,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
0,0.611111111,0.333333333,0.055555556,0,0.040816327,0.673469388,0.204081633,0.081632653,0,0.857142857,0,0,0,0.142857143,0.050847458,0.101694915,0.101694915,0.745762712,1,0.018518519,0.833333333,0.092592593,0.055555556
1,0.714285714,0.238095238,0.047619048,0,0,0.755555556,0.222222222,0,0.022222222,0.666666667,0,0,0.166666667,0.166666667,0.018518519,0.074074074,0.055555556,0.851851852,1,0.125,0.6875,0.09375,0.09375
2,0.708333333,0.208333333,0.041666667,0.041666667,0,0.723404255,0.212765957,0.042553191,0.021276596,1,0,0,0,0,0.048387097,0.032258065,0.14516129,0.774193548,1,0.122807018,0.771929825,0.105263158,0
3,0.636363636,0.272727273,0.045454545,0.045454545,0.021276596,0.70212766,0.212765957,0.063829787,0,1,0,0,0,0,0.114754098,0.06557377,0.06557377,0.754098361,1,0.035714286,0.785714286,0.107142857,0.071428571
4,0.72,0.2,0.08,0,0.019230769,0.653846154,0.173076923,0.134615385,0.019230769,0,0,0,0,0,0.137931034,0,0,0.862068966,1,0,0.745762712,0.101694915,0.152542373
5,0.75,0.208333333,0.041666667,0,0.018518519,0.62962963,0.185185185,0.148148148,0.018518519,0,0,0,0,0,0.089285714,0,0.017857143,0.892857143,1,0.016949153,0.762711864,0.084745763,0.13559322
6,0.571428571,0.357142857,0.071428571,0,0,0.739130435,0.217391304,0.02173913,0.02173913,1,0,0,0,0,0.034482759,0.189655172,0.103448276,0.672413793,1,0.018518519,0.814814815,0.111111111,0.055555556
7,0.5625,0.3125,0.0625,0.0625,0,0.739130435,0.217391304,0.02173913,0.02173913,0.833333333,0,0,0.166666667,0,0.037735849,0.188679245,0.018867925,0.754716981,1,0,0.771929825,0.105263158,0.122807018
8,0.571428571,0.357142857,0.071428571,0,0.022222222,0.755555556,0.2,0,0.022222222,0.833333333,0,0.083333333,0,0.083333333,0.038461538,0.211538462,0,0.75,1,0.016666667,0.733333333,0.1,0.15
9,0.571428571,0.357142857,0.071428571,0,0,0.755555556,0.222222222,0,0.022222222,0.846153846,0,0,0,0.153846154,0,0.203703704,0.074074074,0.722222222,1,0.035087719,0.771929825,0.105263158,0.087719298
10,0.5625,0.375,0.0625,0,0.02173913,0.717391304,0.217391304,0.02173913,0.02173913,0.75,0,0,0.083333333,0.166666667,0.018867925,0.169811321,0.037735849,0.773584906,1,0.017241379,0.75862069,0.103448276,0.120689655
11,0.625,0.3125,0.0625,0,0.02173913,0.739130435,0.217391304,0,0.02173913,0.888888889,0,0,0.111111111,0,0.035714286,0.142857143,0.071428571,0.75,1,0.051724138,0.775862069,0.086206897,0.086206897
12,0.666666667,0.277777778,0.055555556,0,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,1,0,0,0,0,0.035087719,0.105263158,0.087719298,0.771929825,1,0.068965517,0.775862069,0.086206897,0.068965517
13,0.625,0.3125,0.0625,0,0,0.755555556,0.222222222,0,0.022222222,0.9,0,0,0.1,0,0.017241379,0.155172414,0.120689655,0.706896552,1,0.071428571,0.785714286,0.107142857,0.035714286
14,0.5625,0.375,0.0625,0,0.040816327,0.673469388,0.204081633,0.081632653,0,0.888888889,0,0,0.111111111,0,0,0.156862745,0.019607843,0.823529412,1,0.033333333,0.75,0.083333333,0.133333333
15,0.523809524,0.333333333,0.142857143,0,0.022222222,0.711111111,0.177777778,0.088888889,0,0.875,0,0,0,0.125,0.017241379,0.120689655,0.120689655,0.74137931,1,0.103448276,0.706896552,0.155172414,0.034482759
16,0.666666667,0.277777778,0.055555556,0,0,0.739130435,0.217391304,0.02173913,0.02173913,0.875,0,0,0,0.125,0.036363636,0.127272727,0.054545455,0.781818182,1,0.066666667,0.733333333,0.1,0.1
17,0.708333333,0.208333333,0.041666667,0.041666667,0,0.666666667,0.196078431,0.117647059,0.019607843,1,0,0,0,0,0.035714286,0.035714286,0.071428571,0.857142857,1,0.084745763,0.745762712,0.101694915,0.06779661
18,0.703703704,0.185185185,0.037037037,0.074074074,0,0.68,0.2,0.1,0.02,0,0,0,0,0,0,0,0.107142857,0.892857143,1,0.131147541,0.721311475,0.098360656,0.049180328
19,0.6,0.333333333,0.066666667,0,0,0.739130435,0.217391304,0.02173913,0.02173913,1,0,0,0,0,0.072727273,0.181818182,0.018181818,0.727272727,1,0,0.75862069,0.103448276,0.137931034
20,0.533333333,0.333333333,0.066666667,0.066666667,0,0.755555556,0.222222222,0,0.022222222,0.846153846,0,0,0.076923077,0.076923077,0.038461538,0.211538462,0,0.75,1,0,0.75862069,0.103448276,0.137931034
21,0.6,0.333333333,0.066666667,0,0,0.755555556,0.222222222,0,0.022222222,0.909090909,0,0,0,0.090909091,0.068965517,0.172413793,0.068965517,0.689655172,1,0,0.8,0.109090909,0.090909091
22,0.62962963,0.259259259,0.037037037,0.074074074,0.023255814,0.744186047,0.23255814,0,0,1,0,0,0,0,0.166666667,0.016666667,0,0.816666667,1,0.079365079,0.682539683,0.111111111,0.126984127
23,0.708333333,0.208333333,0.041666667,0.041666667,0,0.723404255,0.212765957,0.042553191,0.021276596,0.666666667,0,0,0,0.333333333,0.142857143,0.031746032,0.063492063,0.761904762,1,0,0.8,0.109090909,0.090909091
24,0.65,0.25,0.05,0.05,0,0.708333333,0.208333333,0.0625,0.020833333,0.857142857,0,0,0,0.142857143,0.064516129,0.096774194,0.129032258,0.709677419,1,0,0.862745098,0.117647059,0.019607843
25,0.666666667,0.277777778,0.055555556,0,0.020408163,0.693877551,0.204081633,0.06122449,0.020408163,0.857142857,0,0,0.142857143,0,0.036363636,0.109090909,0.054545455,0.8,1,0.034482759,0.775862069,0.086206897,0.103448276
26,0.538461538,0.384615385,0.076923077,0,0.020833333,0.708333333,0.208333333,0.041666667,0.020833333,0.916666667,0,0,0.083333333,0,0,0.196428571,0.107142857,0.696428571,1,0,0.849056604,0.094339623,0.056603774
