model,run,language,OV,OVS,SOV,SV,SVO,VO,VOS,VS,
Bayesian,1,English,0.1008,0.1336,0.112,0.1488,0.2976,0.092,0.0536,0.0616,
Bayesian,2,English,0.0992,0.1152,0.1256,0.14,0.3024,0.1072,0.0488,0.0616,
Bayesian,3,English,0.1032,0.1192,0.1288,0.1312,0.2808,0.116,0.0496,0.0712,
Bayesian,4,English,0.1008,0.1248,0.1248,0.144,0.2928,0.0952,0.0552,0.0624,
Bayesian,5,English,0.0968,0.1248,0.1056,0.1504,0.3064,0.1056,0.052,0.0584,
Bayesian,6,English,0.0992,0.1248,0.0984,0.1472,0.3048,0.1064,0.0488,0.0704,
Bayesian,7,English,0.0912,0.1344,0.1048,0.1416,0.3,0.1168,0.0496,0.0616,
Bayesian,8,English,,,,,,,,,
Bayesian,9,English,0.108,0.116,0.1224,0.14,0.2992,0.0904,0.0512,0.0728,
Bayesian,10,English,0.1128,0.0984,0.1392,0.1448,0.2896,0.0968,0.0472,0.0712,
Bayesian,1,French,0.0904,0.0768,0.2408,0.2136,0.2928,0.0368,0.0176,0.0312,
Bayesian,2,French,0.096,0.0792,0.224,0.2232,0.288,0.0488,0.0184,0.0224,
Bayesian,3,French,0.1104,0.0712,0.2152,0.204,0.2936,0.0584,0.0216,0.0256,
Bayesian,4,French,0.1048,0.0848,0.216,0.2096,0.2912,0.036,0.0192,0.0384,
Bayesian,5,French,0.1016,0.0632,0.2352,0.1976,0.3176,0.0464,0.0136,0.0248,
Bayesian,6,French,0.0952,0.068,0.2344,0.2264,0.2848,0.0384,0.0168,0.036,
Bayesian,7,French,0.0936,0.0744,0.2096,0.208,0.3168,0.0504,0.0192,0.028,
Bayesian,8,French,0.1032,0.0672,0.2296,0.2144,0.2864,0.048,0.024,0.0272,
Bayesian,9,French,0.0904,0.0752,0.2648,0.1968,0.272,0.056,0.0152,0.0296,
Bayesian,10,French,0.0808,0.0832,0.2536,0.216,0.2784,0.0432,0.0184,0.0264,
Bayesian,1,Japanese,0.2008,0.1512,0.2768,0.0616,0.168,0.068,0.048,0.0256, 
Bayesian,2,Japanese,0.2088,0.1464,0.2896,0.0656,0.1384,0.0688,0.0536,0.0288,
Bayesian,3,Japanese,0.1752,0.1752,0.2696,0.0656,0.1552,0.0776,0.0536,0.028,
Bayesian,4,Japanese,0.1936,0.1472,0.2832,0.0608,0.1592,0.0816,0.06,0.0144,
Bayesian,5,Japanese,0.196,0.1512,0.2656,0.0672,0.1568,0.0824,0.056,0.0248,
Bayesian,6,Japanese,0.2016,0.1568,0.2744,0.052,0.1672,0.072,0.0552,0.0208,
Bayesian,7,Japanese,0.1864,0.1568,0.2952,0.0536,0.1584,0.0784,0.0408,0.0304,
Bayesian,8,Japanese,0.2176,0.1648,0.2672,0.056,0.1376,0.0696,0.0528,0.0344,
Bayesian,9,Japanese,0.1856,0.1728,0.2656,0.0648,0.1592,0.0736,0.052,0.0264,
Bayesian,10,Japanese,0.1928,0.156,0.2904,0.0664,0.1488,0.08,0.0496,0.016,
