model,run,language,OV,OVS,SOV,SV,SVO,VO,VOS,VS,
Bayesian,1,English,0.0744,0.1208,0.1488,0.1584,0.352,0.0592,0.0424,0.044,
Bayesian,1,French,0.064,0.0872,0.2008,0.2336,0.3136,0.0448,0.024,0.032,
Bayesian,1,Japanese,0.1768,0.2192,0.336,0.0472,0.1056,0.0456,0.0496,0.02, 
Data Coverage,1,English,0.74,0.36,0.38,0.66,0.62,0.72,0.1,0.38,
Data Coverage,1,French,0.76,0.24,0.52,0.72,0.64,0.7,0.06,0.26,
Data Coverage,1,Japanese,0.36,0.08,0.28,0.3,0.24,0.3,0.06,0.08,
Bayesian,2,English,0.0696,0.116,0.1576,0.1736,0.3296,0.068,0.0368,0.0488,
Bayesian,3,English,0.0656,0.1056,0.1384,0.1752,0.3496,0.0656,0.044,0.056,
Bayesian,4,English,0.084,0.1088,0.1464,0.1688,0.332,0.0704,0.0352,0.0544,
Bayesian,5,English,0.0768,0.1296,0.1424,0.1816,0.3336,0.0504,0.0368,0.0488,
Bayesian,6,English,0.0728,0.1168,0.1392,0.1776,0.3472,0.0552,0.0376,0.0536,
Bayesian,7,English,0.0784,0.112,0.1552,0.164,0.3368,0.0536,0.0488,0.0512,
Bayesian,8,English,0.0568,0.136,0.1552,0.1784,0.3256,0.0544,0.0368,0.0568,
Bayesian,9,English,0.0792,0.1128,0.156,0.1728,0.3288,0.0576,0.0392,0.0536,
Bayesian,10,English,0.072,0.1152,0.1536,0.1504,0.344,0.0688,0.036,0.06,
Bayesian,2,French,0.0664,0.0824,0.2248,0.2192,0.3096,0.0512,0.0216,0.0248,
Bayesian,3,French,0.0656,0.0968,0.2072,0.2408,0.2968,0.036,0.0208,0.036,
Bayesian,4,French,0.0632,0.0624,0.22,0.244,0.3176,0.0408,0.0152,0.0368,
Bayesian,5,French,0.0704,0.0688,0.1928,0.2536,0.3048,0.0424,0.0216,0.0456,
Bayesian,6,French,0.06,0.076,0.2312,0.2072,0.316,0.0408,0.0296,0.0392,
Bayesian,7,French,0.0672,0.0632,0.224,0.216,0.3224,0.0496,0.02,0.0376,
Bayesian,8,French,0.0632,0.0768,0.228,0.2144,0.3264,0.0368,0.024,0.0304,
Bayesian,9,French,0.064,0.068,0.2312,0.22,0.3216,0.0344,0.0216,0.0392,
Bayesian,10,French,0.0744,0.0752,0.2296,0.2232,0.296,0.0376,0.0224,0.0416,
Bayesian,2,Japanese,0.2096,0.2328,0.3176,0.0472,0.0848,0.0336,0.036,0.0384,
Bayesian,3,Japanese,0.2008,0.2264,0.316,0.0624,0.0848,0.04,0.0416,0.028,
Bayesian,4,Japanese,0.184,0.2376,0.328,0.0464,0.0992,0.0424,0.0424,0.02,
Bayesian,5,Japanese,0.1984,0.2256,0.328,0.0504,0.0928,0.0328,0.0416,0.0304,
Bayesian,6,Japanese,0.2048,0.2248,0.3208,0.0448,0.0888,0.0424,0.048,0.0256,
Bayesian,7,Japanese,0.1976,0.2272,0.3088,0.0544,0.0872,0.044,0.0512,0.0296,
Bayesian,8,Japanese,0.18,0.2352,0.3168,0.0584,0.1,0.0424,0.0456,0.0216,
Bayesian,9,Japanese,0.1896,0.244,0.3056,0.052,0.0928,0.044,0.044,0.028,
Bayesian,10,Japanese,0.1888,0.2368,0.328,0.0576,0.08,0.032,0.0464,0.0304,
