model,run,language,FREE,OV,OVS,SOV,SV,SVO,VO,VOS,VS,,,,,,,,,,,,,
Data Coverage,1,English,0.76,0.74,0.36,0.38,0.66,0.62,0.72,0.1,0.38,,,,,,,,,,,,,
Data Coverage,1,French,0.78,0.76,0.24,0.52,0.72,0.64,0.7,0.06,0.26,,,,,,,,,,,,,
Data Coverage,1,Japanese,0.36,0.36,0.08,0.28,0.3,0.24,0.3,0.06,0.08,,,,,,,,,,,,,
Bayesian,1,English,0.0416,0.0728,0.1104,0.1336,0.1512,0.3408,0.052,0.0448,0.0528,,,,,,,,,,,,,
Bayesian,2,English,0.0496,0.068,0.1176,0.1416,0.1464,0.3288,0.0552,0.0456,0.0472,,,,,,,,,,,,,
Bayesian,3,English,0.0352,0.0744,0.1168,0.1328,0.172,0.3304,0.0512,0.0384,0.0488,,,,,,,,,,,,,
Bayesian,4,English,0.048,0.0792,0.1192,0.1336,0.156,0.3128,0.0536,0.0464,0.0512,,,,,,,,,,,,,
Bayesian,5,English,0.0496,0.0752,0.1088,0.1432,0.156,0.3144,0.0576,0.04,0.0552,,,,,,,,,,,,,
Bayesian,6,English,0.0456,0.0632,0.1208,0.1368,0.1632,0.3232,0.0488,0.0464,0.052,,,,,,,,,,,,,
Bayesian,7,English,0.0512,0.0592,0.1208,0.1376,0.1696,0.3032,0.0672,0.0408,0.0504,,,,,,,,,,,,,
Bayesian,8,English,0.0432,0.068,0.1152,0.1504,0.156,0.3152,0.064,0.0376,0.0504,,,,,,,,,,,,,
Bayesian,9,English,0.0456,0.0728,0.116,0.1448,0.1528,0.3112,0.0648,0.0392,0.0528,,,,,,,,,,,,,
Bayesian,10,English,0.0488,0.0704,0.1072,0.1416,0.1656,0.3088,0.056,0.0408,0.0608,,,,,,,,,,,,,
Bayesian,1,French,0.04,0.056,0.0672,0.224,0.212,0.3096,0.0408,0.0208,0.0296,,,,,,,,,,,,,
Bayesian,2,French,0.0464,0.06,0.0808,0.2208,0.2224,0.2904,0.0296,0.0192,0.0304,,,,,,,,,,,,,
Bayesian,3,French,0.036,0.0624,0.0688,0.2056,0.228,0.3112,0.0296,0.016,0.0424,,,,,,,,,,,,,
Bayesian,4,French,0.0392,0.0624,0.0816,0.2272,0.1912,0.2976,0.0488,0.0176,0.0344,,,,,,,,,,,,,
Bayesian,5,French,0.0432,0.0696,0.0808,0.2184,0.2008,0.3032,0.0392,0.0192,0.0256,,,,,,,,,,,,,
Bayesian,6,French,0.0376,0.0616,0.0736,0.1992,0.2304,0.3032,0.0376,0.0272,0.0296,,,,,,,,,,,,,
Bayesian,7,French,0.0456,0.0528,0.0704,0.1904,0.2312,0.3136,0.0376,0.0256,0.0328,,,,,,,,,,,,,
Bayesian,8,French,0.0384,0.0752,0.0808,0.212,0.2312,0.2856,0.0312,0.0136,0.032,,,,,,,,,,,,,
Bayesian,9,French,0.0384,0.0648,0.0728,0.2216,0.204,0.3256,0.0288,0.016,0.028,,,,,,,,,,,,,
Bayesian,10,French,0.0424,0.0616,0.0776,0.2056,0.2128,0.316,0.0408,0.0176,0.0256,,,,,,,,,,,,,
Bayesian,1,Japanese,0.0232,0.1992,0.232,0.2888,0.0544,0.0944,0.0392,0.0464,0.0224, ,, , ,, , ,, , ,, , 
Bayesian,2,Japanese,0.0248,0.2056,0.224,0.3136,0.0512,0.0856,0.0368,0.04,0.0184,,,,,,,,,,,,,
Bayesian,3,Japanese,0.0208,0.1752,0.2152,0.3224,0.0528,0.0944,0.0456,0.0496,0.024,,,,,,,,,,,,,
Bayesian,4,Japanese,0.0208,0.1904,0.2136,0.32,0.0384,0.0872,0.0424,0.0576,0.0296,,,,,,,,,,,,,
Bayesian,5,Japanese,0.0216,0.1848,0.2392,0.3048,0.0464,0.0984,0.0408,0.0304,0.0336,,,,,,,,,,,,,
Bayesian,6,Japanese,0.0216,0.1992,0.2008,0.3168,0.048,0.1064,0.0392,0.0488,0.0192,,,,,,,,,,,,,
Bayesian,7,Japanese,0.0216,0.2088,0.2296,0.2984,0.048,0.0896,0.0384,0.036,0.0296,,,,,,,,,,,,,
Bayesian,8,Japanese,0.032,0.1768,0.2328,0.3072,0.0472,0.088,0.0528,0.036,0.0272,,,,,,,,,,,,,
Bayesian,9,Japanese,0.0232,0.1848,0.2264,0.3192,0.048,0.0848,0.0304,0.0584,0.0248,,,,,,,,,,,,,
Bayesian,10,Japanese,0.024,0.2072,0.2168,0.304,0.0464,0.0992,0.036,0.036,0.0304,,,,,,,,,,,,,
