model,run,language,FREE,OV,OVS,SOV,SV,SVO,VO,VOS,VS,,,,,,,,,,,,,
Data Coverage,1,English,0.86,0.84,0.8,0.56,0.84,0.8,0.82,0.2,0.82,,,,,,,,,,,,,
Data Coverage,1,French,0.9,0.88,0.8,0.64,0.88,0.8,0.82,0.18,0.82,,,,,,,,,,,,,
Data Coverage,1,Japanese,1,1,0.94,0.92,1,0.94,0.94,0.7,0.94,,,,,,,,,,,,,
Bayesian,1,English,0.0792,0.1184,0.1536,0.1256,0.1304,0.1672,0.0712,0.0672,0.0872,,,,,,,,,,,,,
Bayesian,2,English,0.0928,0.1272,0.1536,0.1312,0.1208,0.1552,0.0776,0.072,0.0696,,,,,,,,,,,,,
Bayesian,3,English,0.0848,0.1264,0.1688,0.1232,0.1304,0.1456,0.0848,0.0528,0.0832,,,,,,,,,,,,,
Bayesian,4,English,0.0776,0.1248,0.1464,0.1392,0.1192,0.1496,0.0928,0.0704,0.08,,,,,,,,,,,,,
Bayesian,5,English,0.0992,0.1312,0.144,0.1248,0.1168,0.1648,0.088,0.0552,0.076,,,,,,,,,,,,,
Bayesian,6,English,0.092,0.1288,0.1488,0.1296,0.1352,0.1632,0.0672,0.0536,0.0816,,,,,,,,,,,,,
Bayesian,7,English,0.0752,0.1168,0.1664,0.128,0.132,0.1536,0.092,0.0696,0.0664,,,,,,,,,,,,,
Bayesian,8,English,0.0744,0.116,0.148,0.1344,0.1304,0.1688,0.0848,0.0664,0.0768,,,,,,,,,,,,,
Bayesian,9,English,0.0784,0.1312,0.1784,0.124,0.14,0.1304,0.0744,0.0608,0.0824,,,,,,,,,,,,,
Bayesian,10,English,0.0896,0.1248,0.1664,0.1032,0.132,0.152,0.0808,0.072,0.0792,,,,,,,,,,,,,
Bayesian,1,French,0.072,0.1456,0.148,0.1856,0.1544,0.1448,0.0496,0.0384,0.0616,,,,,,,,,,,,,
Bayesian,2,French,0.0704,0.1392,0.1608,0.184,0.1512,0.1456,0.056,0.0392,0.0536,,,,,,,,,,,,,
Bayesian,3,French,0.0696,0.156,0.1584,0.192,0.14,0.1336,0.0544,0.0408,0.0552,,,,,,,,,,,,,
Bayesian,4,French,0.072,0.152,0.1616,0.1904,0.1224,0.156,0.0648,0.0272,0.0536,,,,,,,,,,,,,
Bayesian,5,French,0.0744,0.144,0.144,0.192,0.1376,0.148,0.0496,0.0528,0.0576,,,,,,,,,,,,,
Bayesian,6,French,0.0808,0.1472,0.172,0.1648,0.1504,0.1424,0.0544,0.036,0.052,,,,,,,,,,,,,
Bayesian,7,French,0.072,0.14,0.1304,0.2,0.168,0.14,0.0536,0.0424,0.0536,,,,,,,,,,,,,
Bayesian,8,French,0.0896,0.1416,0.1344,0.172,0.1616,0.1368,0.0712,0.036,0.0568,,,,,,,,,,,,,
Bayesian,9,French,0.0736,0.1512,0.1488,0.1752,0.1552,0.1464,0.056,0.0384,0.0552,,,,,,,,,,,,,
Bayesian,10,French,0.0824,0.1512,0.1352,0.192,0.1512,0.1544,0.0536,0.0248,0.0552,,,,,,,,,,,,,
Bayesian,1,Japanese,0.0208,0.1328,0.1128,0.428,0.1272,0.1288,0.0176,0.0136,0.0184, ,, , ,, , ,, , ,, , 
Bayesian,2,Japanese,0.0248,0.1184,0.128,0.412,0.128,0.1464,0.0192,0.008,0.0152,,,,,,,,,,,,,
Bayesian,3,Japanese,0.02,0.1304,0.1248,0.4256,0.1296,0.1264,0.02,0.0056,0.0176,,,,,,,,,,,,,
Bayesian,4,Japanese,0.0176,0.1352,0.1416,0.4,0.1296,0.12,0.024,0.012,0.02,,,,,,,,,,,,,
Bayesian,5,Japanese,0.02,0.124,0.1232,0.4232,0.1288,0.1248,0.0176,0.0168,0.0216,,,,,,,,,,,,,
Bayesian,6,Japanese,0.0176,0.1192,0.1376,0.4216,0.1272,0.1352,0.012,0.0144,0.0152,,,,,,,,,,,,,
Bayesian,7,Japanese,0.0136,0.1168,0.1304,0.4232,0.1392,0.1376,0.0168,0.0072,0.0152,,,,,,,,,,,,,
Bayesian,8,Japanese,0.02,0.1184,0.1248,0.4248,0.1208,0.1368,0.0224,0.0112,0.0208,,,,,,,,,,,,,
Bayesian,9,Japanese,0.0176,0.1128,0.1368,0.4168,0.1368,0.1192,0.024,0.0128,0.0232,,,,,,,,,,,,,
Bayesian,10,Japanese,0.02,0.1272,0.1288,0.4224,0.1288,0.1264,0.0192,0.0048,0.0224,,,,,,,,,,,,,
