model,alpha,forgetting,run,k,b,prob_ka
Regularization,1,0,1,84,42,0.666666667
Regularization,1,0,2,84,42,0.666666667
Regularization,1,0,3,84,42,0.666666667
Regularization,1,0,4,84,42,0.666666667
Regularization,1,0,5,84,42,0.666666667
Regularization,1,0,6,84,42,0.666666667
Regularization,1,0,7,84,42,0.666666667
Regularization,1,0,8,84,42,0.666666667
Regularization,1,0,9,84,42,0.666666667
Regularization,1,0,10,84,42,0.666666667
Regularization,0.5,0,1,84,42,0.668
Regularization,0.5,0,2,84,42,0.668
Regularization,0.5,0,3,84,42,0.668
Regularization,0.5,0,4,84,42,0.668
Regularization,0.5,0,5,84,42,0.668
Regularization,0.5,0,6,84,42,0.668
Regularization,0.5,0,7,84,42,0.668
Regularization,0.5,0,8,84,42,0.668
Regularization,0.5,0,9,84,42,0.668
Regularization,0.5,0,10,84,42,0.668
Regularization,0.05,0,1,84,42,0.669218372
Regularization,0.05,0,2,84,42,0.669218372
Regularization,0.05,0,3,84,42,0.669218372
Regularization,0.05,0,4,84,42,0.669218372
Regularization,0.05,0,5,84,42,0.669218372
Regularization,0.05,0,6,84,42,0.669218372
Regularization,0.05,0,7,84,42,0.669218372
Regularization,0.05,0,8,84,42,0.669218372
Regularization,0.05,0,9,84,42,0.669218372
Regularization,0.05,0,10,84,42,0.669218372
Regularization,0.0001,0,1,84,42,0.669354566
Regularization,0.0001,0,2,84,42,0.669354566
Regularization,0.0001,0,3,84,42,0.669354566
Regularization,0.0001,0,4,84,42,0.669354566
Regularization,0.0001,0,5,84,42,0.669354566
Regularization,0.0001,0,6,84,42,0.669354566
Regularization,0.0001,0,7,84,42,0.669354566
Regularization,0.0001,0,8,84,42,0.669354566
Regularization,0.0001,0,9,84,42,0.669354566
Regularization,0.0001,0,10,84,42,0.669354566
Regularization,1,0.4,1,55,28,0.662650602
Regularization,1,0.4,2,51,27,0.653846154
Regularization,1,0.4,3,47,20,0.701492537
Regularization,1,0.4,4,54,27,0.666666667
Regularization,1,0.4,5,43,25,0.632352941
Regularization,1,0.4,6,56,27,0.674698795
Regularization,1,0.4,7,54,29,0.65060241
Regularization,1,0.4,8,45,28,0.616438356
Regularization,1,0.4,9,46,23,0.666666667
Regularization,1,0.4,10,57,25,0.695121951
Regularization,0.5,0.4,1,55,28,0.664634146
Regularization,0.5,0.4,2,51,27,0.655844156
Regularization,0.5,0.4,3,47,20,0.704545455
Regularization,0.5,0.4,4,54,27,0.66875
Regularization,0.5,0.4,5,43,25,0.634328358
Regularization,0.5,0.4,6,56,27,0.676829268
Regularization,0.5,0.4,7,54,29,0.652439024
Regularization,0.5,0.4,8,45,28,0.618055556
Regularization,0.5,0.4,9,46,23,0.669117647
Regularization,0.5,0.4,10,57,25,0.697530864
Regularization,0.05,0.4,1,55,28,0.666461159
Regularization,0.05,0.4,2,51,27,0.657687254
Regularization,0.05,0.4,3,47,20,0.707373272
Regularization,0.05,0.4,4,54,27,0.670670038
Regularization,0.05,0.4,5,43,25,0.636157337
Regularization,0.05,0.4,6,56,27,0.678791615
Regularization,0.05,0.4,7,54,29,0.654130703
Regularization,0.05,0.4,8,45,28,0.61954993
Regularization,0.05,0.4,9,46,23,0.671385991
Regularization,0.05,0.4,10,57,25,0.699750312
Regularization,0.0001,0.4,1,55,28,0.666666255
Regularization,0.0001,0.4,2,51,27,0.657894321
Regularization,0.0001,0.4,3,47,20,0.707691669
Regularization,0.0001,0.4,4,54,27,0.670885643
Regularization,0.0001,0.4,5,43,25,0.636363223
Regularization,0.0001,0.4,6,56,27,0.679011904
Regularization,0.0001,0.4,7,54,29,0.654320607
Regularization,0.0001,0.4,8,45,28,0.619717973
Regularization,0.0001,0.4,9,46,23,0.671641279
