model,run,language,OVS_12,OVS_21,SOV_12,SOV_21,SVO_12,SVO_21,VOS_12,VOS_21
Bayesian,1,Japanese,0.0336,0.0768,0.3912,0.304,0.1248,0.0624,0.0032,0.004
Bayesian,2,Japanese,0.032,0.0664,0.4352,0.2888,0.1216,0.0448,0.0056,0.0056
Bayesian,3,Japanese,0.0312,0.072,0.4032,0.2896,0.1392,0.0552,0.0048,0.0048
Bayesian,4,Japanese,0.0408,0.0744,0.4096,0.304,0.1072,0.0544,0.0056,0.004
Bayesian,5,Japanese,0.0304,0.0648,0.4344,0.2832,0.1168,0.0536,0.0056,0.0112
Bayesian,6,Japanese,0.032,0.0632,0.4472,0.2952,0.1064,0.0432,0.0056,0.0072
Bayesian,7,Japanese,0.036,0.0736,0.4152,0.3056,0.1096,0.048,0.0032,0.0088
Bayesian,8,Japanese,0.0232,0.088,0.4064,0.2848,0.1256,0.0552,0.0072,0.0096
Bayesian,9,Japanese,0.0384,0.0784,0.4208,0.292,0.108,0.0504,0.0032,0.0088
Bayesian,10,Japanese,0.032,0.0768,0.4096,0.296,0.1296,0.048,0.0032,0.0048
Data Coverage,1,Japanese,0.06,0.02,0.44,0.14,0.44,0.14,0.06,0.02
