bias,lang,run,sample,"NP,np","NP,NP,NP","S,NP,S","S,NP,VP","S,S,NP","S,VP,NP","S,VP","V,v","VP,NP,V","VP,NP,VP","VP,V,NP","VP,V","VP,VP,NP"
Biased,English,1,0,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,1,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,2,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,3,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,4,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,5,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,6,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,7,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,8,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,9,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,10,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,11,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,12,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,13,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,14,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,15,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,16,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,17,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,18,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,19,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,20,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,21,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,22,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,23,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,24,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,25,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,26,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,27,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,28,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,29,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,30,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,31,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,32,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,33,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,34,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,35,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,36,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,37,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,38,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,39,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,40,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,41,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,42,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,43,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,44,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,45,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,46,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,47,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,48,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,49,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,50,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,51,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,52,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,53,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,54,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,55,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,56,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,57,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,58,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,59,0.857142857,0.142857143,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0
Biased,English,1,60,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
Biased,English,1,61,0.857142857,0.142857143,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0
